Brocha;NBrochasHSS;NDiscos;NUsos;USDutchman;BrochaSN;OrdenFabricacion;PartNumber;NUso;NBrochaHSS;NDisco;FBrochado;DUMMY;Dutchman;Maquina;TpoIndexador; Utillaje;XC;ZC;BC;CC;XCMM;ZCMM;BCMM;CCMM
011.0082.300;2;2;11;7;E0473;222413268;14131672;7;1;2;2023-10-01 22:29:34.547;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0029;0.02;0.13;-0.01;-0.01;0.063;-0.024;0.02;0.032
011.0081.300;2;2;11;7;E0454;222411243;14131671;10;1;1;2023-10-02 01:20:03.883;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.45;-0.02;0;-0.03;0.02;-0.02;0;0
011.0070.300;2;2;11;7;E0462;222413272;14135691;11;1;1;2023-10-02 04:25:41.000;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0017;0.19;0.07;0;0.09;-0.26;-0.02;-0.02;0
011.0082.300;2;2;11;7;E0473;222412538;14129565;7;2;1;2023-10-02 10:52:05.027;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.1;0.12;0.02;0.02;0.017;-0.02;0.004;-0.02
011.0070.300;2;2;11;7;E0450;222413277;14135692;3;2;1;2023-10-02 16:30:07.177;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.7;0.06;0.07;0.02;0.09;0.03;0.03;0
011.0081.300;2;2;11;7;E0454;222411244;14131671;10;1;2;2023-10-02 16:32:56.837;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.45;-0.02;0;-0.03;0.52;-0.07;0.06;-0.02
011.0070.300;2;2;11;7;E0462;222413273;14135691;11;1;2;2023-10-02 16:58:27.180;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0017;0.19;0.07;0;0.09;-0.21;-0.051;-0.03;0.011
011.0070.300;2;2;11;7;E0450;222415213;14135692;3;2;2;2023-10-02 20:20:07.423;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.7;0.06;0.07;0.02;0.2;0.052;0.041;0.005
011.0082.300;2;2;11;7;E0473;222411250;14129565;7;2;2;2023-10-02 23:34:52.620;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.1;0.12;0.02;0.02;-0.047;0.024;0.007;-0.011
011.0081.300;2;2;11;7;E0454;222411241;14131671;10;2;1;2023-10-03 03:11:01.157;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0;-0.02;0.04;-0.03;0.308;-0.044;0.045;-0.001
011.0070.300;2;2;11;7;E0462;222414329;14135691;11;2;1;2023-10-03 04:13:50.043;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0017;0.19;0.07;-0.01;0.09;0.2;0.02;0.03;-0.04
011.0070.300;2;2;11;7;E0462;222415206;14135691;11;2;2;2023-10-03 11:50:51.000;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0017;0.19;0.07;-0.01;0.09;0.24;0;0.03;-0.02
011.0082.300;2;2;11;7;E0478;222413264;14131672;10;1;1;2023-10-04 00:01:18.123;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0029;0.09;0.13;0.02;-0.01;-0.4;0.006;-0.047;0.026
011.0077.300;2;2;11;7;E0388;222413255;14144442;5;1;1;2023-10-04 03:05:07.543;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0.5;0.07;0.09;-0.02;-0.56;-0.034;-0.056;-0.01
011.0077.300;2;2;11;7;E0465;DUMMY;14144441;1;1;NULL;2023-10-04 04:53:08.453;VERDADERO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.5;0.05;0.05;0.05;0.1;-0.07;-0.01;-0.06
011.0077.300;2;2;11;7;E0465;222415011;14144441;1;1;1;2023-10-04 05:46:07.120;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.25;-0.07;-0.01;0.02;0.06;0.01;0;0.01
011.0082.300;2;2;11;7;E0478;222413265;14131672;10;1;2;2023-10-04 07:21:09.337;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0029;-0.3;0.13;-0.02;-0.01;0.01;0;-0.008;0.018
011.0070.300;2;2;11;7;E0476;222411174;14135691;10;1;1;2023-10-04 08:24:24.307;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.5;0.06;0.06;0;-0.181;0.03;-0.015;0.015
011.0084.300;1;6;9;7;WK9005;DUMMY;14126834;5;1;NULL;2023-10-04 09:20:12.673;VERDADERO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.1;0.05;0;0;0.07;-0.02;0;0
011.0084.300;1;6;9;7;WK9005;222412738;14126834;5;1;1;2023-10-04 09:23:59.497;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.03;0.03;0;0;-0.055;0.032;0;0
011.0082.300;2;2;11;7;E0486;222412560;14129565;1;2;1;2023-10-04 11:54:13.000;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;-0.1;0.1;0.01;0.02;0.171;-0.013;0.017;-0.007
011.0077.300;2;2;11;7;E0465;222415012;14144441;1;1;2;2023-10-04 12:23:00.370;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.31;-0.06;-0.01;0.02;-0.06;0.03;0;-0.01
011.0077.300;2;2;11;7;E0388;222415006;14144442;5;1;2;2023-10-04 12:40:33.493;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0;0.07;0.03;-0.02;0.06;-0.07;0.02;-0.02
011.0082.300;2;2;11;7;E0478;222413269;14131672;10;2;1;2023-10-04 22:15:32.973;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0029;0.04;0.13;0.01;-0.01;-0.3;0.02;-0.03;0.01
011.0070.300;2;2;11;7;E0476;222411897;14135691;10;1;2;2023-10-04 22:59:31.477;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.31;0.09;0.05;0.01;0.2;0.08;0.01;0.02
011.0082.300;2;2;11;7;E0486;222413737;14129565;1;1;2;2023-10-05 02:30:19.737;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.19;0.03;0.04;0.02;0;0.03;-0.01;-0.01
011.0077.300;2;2;11;7;E0465;DUMMY;14144441;1;2;NULL;2023-10-05 02:57:01.920;VERDADERO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.5;0.05;0.05;0.05;-0.386;-0.109;-0.097;-0.036
011.0077.300;2;2;11;7;E0465;222415013;14144441;1;2;1;2023-10-05 02:57:36.420;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0;-0.06;-0.05;0.02;-0.038;0.031;0;-0.011
