iter	RMSE
0	0.4313636764
1	0.4139420078
2	0.3974469394
3	0.3838785363
4	0.3691754845
5	0.3578299615
6	0.3478056284
7	0.3375795579
8	0.3276445776
9	0.3196204178
10	0.3128930523
11	0.3073564044
12	0.3020101977
13	0.2958388624
14	0.2898249064
15	0.2856060981
16	0.2806582817
17	0.2764559607
18	0.2745295951
19	0.2707121766
20	0.2674083269
21	0.2636172604
22	0.2615334889
23	0.2584055421
24	0.2554754917
25	0.2520200697
26	0.2495930255
27	0.2473032255
28	0.2450300051
29	0.2429544842
30	0.2409917778
31	0.238948653
32	0.2378990249
33	0.2357593443
34	0.2343191565
35	0.2323647167
36	0.230916474
37	0.2295246752
38	0.2278863016
39	0.2262268963
40	0.2249748595
41	0.2234809346
42	0.2217529825
43	0.2205383993
44	0.2193283836
45	0.2185335417
46	0.2173979087
47	0.2162479511
48	0.2147111267
49	0.2134451604
50	0.2119099104
51	0.2109634732
52	0.2104479639
53	0.2094025197
54	0.208054259
55	0.2068172375
56	0.2063478064
57	0.205220893
58	0.2043538137
59	0.2038295967
60	0.2030803894
61	0.2024522568
62	0.2018210834
63	0.2008254255
64	0.2001982946
65	0.199488753
66	0.1989113596
67	0.198056737
68	0.1974162674
69	0.1966110558
70	0.1959077076
71	0.1953523989
72	0.1937125504
73	0.1929872639
74	0.1924296584
75	0.1917934518
76	0.1908767508
77	0.1900370269
78	0.1891595317
79	0.1877867168
80	0.187450764
81	0.1867737545
82	0.1857664909
83	0.1850118833
84	0.1844111577
85	0.1837329569
86	0.182689533
87	0.1820989574
88	0.181390359
89	0.1806932657
90	0.1801507587
91	0.1796806531
92	0.1791620349
93	0.1785576809
94	0.177866074
95	0.1772258977
96	0.1764446582
97	0.1758030036
98	0.1750421529
99	0.1743150226
100	0.173110277
101	0.1721835645
102	0.1717457194
103	0.1712146467
104	0.1707442971
105	0.1701613854
106	0.169475721
107	0.1686914277
108	0.1680846799
109	0.1676722861
110	0.1669140847
111	0.1659902519
112	0.1650915834
113	0.1643501318
114	0.1634663673
115	0.1628233419
116	0.1620215713
117	0.1615038227
118	0.1606387127
119	0.1599095268
120	0.1595198861
121	0.1588970146
122	0.1581298313
123	0.1577518156
124	0.1573144754
125	0.156794125
126	0.1561663273
127	0.1557104615
128	0.1550754927
129	0.1543163377
130	0.1536883039
131	0.1530033555
132	0.1525265555
133	0.1518884781
134	0.1514655866
135	0.1512725044
136	0.1508910482
137	0.1504544971
138	0.1496825158
139	0.149014537
140	0.1485356449
141	0.1479314743
142	0.1475898178
143	0.1472566077
144	0.1466953774
145	0.1462598821
146	0.1456541094
147	0.1452039671
148	0.1448497369
149	0.1443032655
150	0.1438610577
151	0.1433304449
152	0.1431885157
153	0.1427310987
154	0.1421498922
155	0.1419442037
156	0.1416113525
157	0.1413524669
158	0.1408617081
159	0.1403585996
160	0.1400565987
161	0.1395183112
162	0.1390750958
163	0.138488879
164	0.1379133272
165	0.1376881927
166	0.1373223585
167	0.1372594235
168	0.1369848256
169	0.136491573
170	0.1355550956
171	0.1351657484
172	0.1346224601
173	0.1344018343
174	0.1337293734
175	0.1332918033
176	0.1324947791
177	0.1319718053
178	0.1314707198
179	0.1310811538
180	0.130725013
181	0.130209331
182	0.1296940353
183	0.1291661879
184	0.1287652346
185	0.1285737419
186	0.1282598629
187	0.1277418598
188	0.127405409
189	0.1267709376
190	0.1264403674
191	0.1261425353
192	0.1256341736
193	0.1250208633
194	0.1245665304
195	0.1239956144
196	0.1233480223
197	0.1229861007
198	0.1225766083
199	0.1220200776
200	0.1217281176
201	0.1212859067
202	0.1211002177
203	0.1205988714
204	0.1202915301
205	0.1195503476
206	0.119427839
207	0.1191124963
208	0.118596732
209	0.1180335299
210	0.1174223519
211	0.1168873319
212	0.1166006402
213	0.1162189191
214	0.1158789428
215	0.1153313392
216	0.1152569804
217	0.1146806044
218	0.1144765362
219	0.1141586712
220	0.1137211008
221	0.1133575853
222	0.1129917206
223	0.1127406128
224	0.1125978894
225	0.1121618743
226	0.1117987166
227	0.1114901134
228	0.111100427
229	0.1107661742
230	0.1106326741
231	0.1103519104
232	0.1101811725
233	0.110099098
234	0.1096932592
235	0.1093094123
236	0.1089239749
237	0.1085626128
238	0.1083018569
239	0.1079260162
240	0.1076902161
241	0.1072586754
242	0.1070227728
243	0.1068480815
244	0.1064812449
245	0.1062124371
246	0.1058036035
247	0.1055402637
248	0.1053072052
249	0.1051700518
250	0.1048717671
251	0.104553323
252	0.1042874669
253	0.1040606308
254	0.1036152597
255	0.1032301204
256	0.1028009742
257	0.1024154754
258	0.102126337
259	0.1018780481
