iter	Passed	Remaining
0	5	5788
1	10	5010
2	14	4973
3	20	5092
4	25	5116
5	30	4980
6	34	4834
7	38	4751
8	43	4793
9	47	4714
10	51	4626
11	56	4650
12	61	4691
13	65	4644
14	69	4584
15	74	4570
16	79	4591
17	83	4550
18	86	4488
19	91	4487
20	96	4521
21	101	4515
22	105	4477
23	109	4463
24	114	4473
25	118	4446
26	122	4412
27	126	4397
28	131	4419
29	135	4387
30	139	4373
31	144	4366
32	150	4396
33	154	4379
34	157	4353
35	162	4345
36	168	4373
37	172	4365
38	176	4340
39	180	4341
40	186	4355
41	189	4323
42	193	4302
43	197	4291
44	202	4301
45	206	4282
46	210	4267
47	214	4263
48	220	4272
49	223	4251
50	227	4232
51	231	4222
52	236	4227
53	240	4213
54	244	4193
55	248	4187
56	253	4199
57	257	4182
58	261	4164
59	265	4156
60	270	4170
61	274	4154
62	278	4134
63	282	4129
64	288	4147
65	291	4131
66	295	4114
67	300	4113
68	305	4118
69	308	4101
70	312	4083
71	316	4073
72	321	4076
73	324	4060
74	328	4045
75	331	4035
76	337	4042
77	340	4029
78	344	4018
79	348	4009
80	353	4012
81	357	4000
82	361	3990
83	365	3981
84	370	3986
85	374	3976
86	377	3961
87	381	3957
88	386	3959
89	390	3950
90	394	3937
91	398	3932
92	403	3937
93	407	3924
94	410	3911
95	414	3906
96	420	3910
97	424	3908
98	428	3899
99	432	3894
100	437	3897
101	441	3886
102	444	3874
103	448	3865
104	453	3867
105	457	3856
106	460	3846
107	464	3840
108	470	3843
109	473	3834
110	477	3824
111	481	3820
112	486	3821
113	491	3819
114	495	3810
115	499	3805
116	504	3806
117	507	3796
118	511	3789
119	516	3785
120	522	3794
121	525	3783
122	529	3777
123	534	3774
124	539	3776
125	543	3766
126	546	3757
127	551	3753
128	556	3755
129	559	3746
130	563	3739
131	568	3736
132	573	3739
133	577	3735
134	581	3725
135	585	3721
136	590	3721
137	594	3714
138	598	3706
139	603	3705
140	609	3710
141	612	3703
142	616	3697
143	623	3705
144	639	3769
145	645	3777
146	651	3777
147	656	3780
148	663	3791
149	668	3789
150	672	3783
151	677	3777
152	682	3776
153	685	3768
154	690	3762
155	694	3758
156	700	3759
157	703	3750
158	707	3741
159	711	3736
160	717	3740
161	721	3731
162	725	3723
163	729	3718
164	734	3718
165	738	3709
166	742	3701
167	746	3695
168	751	3694
169	754	3685
170	758	3678
171	763	3674
172	768	3672
173	772	3664
174	775	3657
175	780	3652
176	785	3651
177	788	3643
178	792	3634
179	796	3628
180	802	3630
181	805	3621
182	809	3613
183	813	3606
184	819	3610
185	823	3602
186	826	3594
187	830	3589
188	836	3588
189	839	3580
190	843	3572
